Company_name;Link 1;Link 2;Link 3;Link 4;Link 5
ESPRINET S.P.A.;https://www.esprinet.com/it/;https://www.esprinet.com/it/gruppo/;https://www.esprinet.com/it/offerta/prodotti/;https://www.esprinethub.it;https://www.esprinet.com/en/
MEDIAMARKET SPA;https://www.mediaworld.it/it/about-us/chi-siamo;https://it.wikipedia.org/wiki/Mediamarket;https://www.ufficiocamerale.it/1514/mediamarket-spa;https://it.wikipedia.org/wiki/MediaMarkt;https://customer-care.mediaworld.it
STMICROELECTRONICS S.R.L. (1);https://www.st.com/content/st_com/;https://it.wikipedia.org/wiki/STMicroelectronics;https://www.repubblica.it/economia/rubriche/outlook/2024/03/20/news/stmicroelectronics_perche_oggi_e_unazienda_piu_francese_di_prima-422346838/;https://www.borsaitaliana.it/borsa/azioni/scheda/NL0000226223.html;https://www.st.com/content/st_com/en/about/st_company_information/who-we-are.html
BASF ITALIA S.P.A.;https://www.basf.com/it/it.html;https://www.basf.com/it/it/who-we-are/Le-sedi-del-Gruppo-in-Italia/Societa-del-gruppo.html;https://www.agro.basf.it/it/;https://www.basf.com/it/it/who-we-are/Le-sedi-del-Gruppo-in-Italia/Storia.html;https://plastics-rubber.basf.com/global/en/performance_polymers/locations/italy.html
G.A.I.A. HOLDING S.R.L.;https://www.dnb.com/business-directory/company-profiles.gaia_holding_srl.07f41188abe08f7a60ce62ec33031663.html;https://www.ufficiocamerale.it/6629/gaia-holding-srl;https://www.informazione-aziende.it/Azienda_GAIA-HOLDING-SRL;https://www.companyreports.it/gaia_holding_srl-11495580968/;https://www.visura.pro/imprese/3835907410-g-a-i-a-holding-s-r-l.html
CANDY S.P.A.;https://www.candy-home.com/it_IT/;https://it.wikipedia.org/wiki/Candy_(azienda);https://www.candy-home.com/it_IT/contattaci/;https://corporate.haier-europe.com/our-brands/candy/;https://en.wikipedia.org/wiki/Candy_(company)
DECATHLON ITALIA S.R.L.;https://www.ufficiocamerale.it/7315/decathlon-italia-srl;https://www.decathlon.it/sports;https://it.wikipedia.org/wiki/Decathlon_(azienda);https://www.decathlon.it/store-view/negozio-sport-lissone-monza-e-brianza-0070014000140;https://www.decathlon.it/store-view/negozio-sport-bufalotta-roma-0070046900469
SOL S.P.A. (1);https://www.sol.it/it/dove-siamo/sol-spa;https://www.solgroup.com/it;https://www.sol.it/it/chi-siamo;https://www.solgroup.com/it/chi-siamo/il-gruppo;https://it.wikipedia.org/wiki/Sol_(azienda)
PRENATAL RETAIL GROUP S.P.A.;https://prenatalretailgroup.com;https://prenatalretailgroup.com/en/homepage/;https://prenatalretailgroup.com/il-gruppo/;https://www.prenatal.com;https://prenatalretailgroup.com/brand/prenatal-it/
DS SMITH HOLDING ITALIA S.P.A.;https://www.dssmith.com/it;https://www.dssmith.com/it/la-nostra-azienda;https://www.dssmith.com/it/packaging/informazioni;https://www.dssmith.com/it/i-nostri-contatti;https://www.dssmith.com/company/locations/our-paper-mills/lucca-paper-mill
