1;ESPRINET S.P.A.;4.684.164.000;11,57;;Vimercate;C-IAS;Commercio all'ingrosso;;Alessandro Cattani;Alessandro Vergani;Stefano Mattioli;Ettore Sorace;Monica Trabattoni;Giovanni Testa;Danilo Villa;;
2;MEDIAMARKET SPA;2.715.705.000;25,16;;Verano Brianza;O;Commercio al dettaglio;;Guido Monferrini;;Emanuele Cosimelli;Alessandra Bergamo;Sven Degezelle;;;;
3;STMICROELECTRONICS S.R.L. (1);2.705.563.358;22,00;;Agrate Brianza;O;Elettronica;;Jean Marc Chery;Jerome Roux;;;Jerome Roux;;;;
4;BASF ITALIA S.P.A.;2.592.772.000;3,59;;Cesano Maderno;O;Chimica e affini;;Andrea Amato;Josè Reyes;;Marco Scotto;Andrea Masserano;;;;
5;G.A.I.A. HOLDING S.R.L.;2.183.402.000;8,94;;Desio;C-IAS;Gomma-plastica;;;;;;;;;;
6;CANDY S.P.A.;2.004.743.000;n.d.;;Brugherio;C-IAS;Apparecchiature elettriche;;Neil Tunstall;Raffaele Sperandeo;Andrea Della Vecchia;Giampaolo Mulazzani;Jean Pascal;Yannick Fierling;;;
7;DECATHLON ITALIA S.R.L.;1.597.932.293;37,65;;Lissone;O;Commercio al dettaglio;;Jean-Francois Mace;Louise Cibrario;Davide Gassino;Margherita Cappelletti;;;;;
8;SOL S.P.A. (1);1.463.091.000;15,50;;Monza;C;Chimica e affini;;Aldo Fumagalli Romario ;;;;;;;;
9;PRENATAL RETAIL GROUP S.P.A.;1.221.432.000;4,61;;Cogliate;C-IAS;Commercio al dettaglio;;Alberto Rivolta;;Davide Ponzo;;Fabio Brugnoli;;;;
10;DS SMITH HOLDING ITALIA S.P.A.;932.528.470;12,94;;Vimercate;C;Carta e stampati;;Luigi Paolo Marini;Teresa Del Re;Richard Pike;Alberto Canari Venturi;;;;;
11;ROCHE SOCIETA' PER AZIONI;924.681.320;13,38;;Monza;O;Farmaceutica;;Stefanos Tsamousis;;Matteo Pietra;Valentina Figna;;;;;
12;SACCHI GIUSEPPE S.P.A.;920.458.385;21,59;;Desio;O;Commercio all'ingrosso;;Marco Giorgio Brunetti;Simona Colombo;Franco Fumagalli;Marilinda Lorri;Paolo Costa;;;;
13;GRUPPO FONTANA (1);888.787.922;11,90;;Veduggio con Colzano;C-IAS;Metallurgia;;Walter Fontana;;Giuseppe Dolcetti;Gianni Rubin;Nicola Guido;;;;
14;GRUPPO SAPIO (1);885.512.000;13,74;;Monza;C;Chimica e affini;;Mario Paterlini;Pietro Leo;Michele Piovella;;Fabrizio Cardilli;;;;
15;INTERCOS S.P.A.;851.058.000;10,76;;Agrate Brianza;C-IAS;Chimica e affini;;Gianandrea Ferrari;;Stefano Tenneriello;Cristina D'agostino;Vittorio Brenna;;;;
16;ACINQUE S.P.A.;710.155.000;6,02;;Monza;C-IAS;Utilities;;Stefano Cetti;Martin Isolabella;;;Martin Isolabella;;;;
