Company,weighted_score,l_score,w_score,ESG,GENDER EQUALITY,VOLLEYBALL
COCA-COLA ITALIA SRL,2.29,3.0,0.64,0.38,1.48,0.32
ITALMATCH CHEMICALS S.P.A.,2.24,2.2,2.32,0.56,0.0,0.72
WOLTERS KLUWER ITALIA S.R.L.,1.39,1.39,1.39,1.55,0.28,0.13
VITERRA ITALY S.R.L.,1.11,1.41,0.41,1.71,0.0,0.14
ZANOTTA S.P.A.,1.09,1.54,0.04,2.0,0.0,0.0
RHENUS LOGISTICS S.P.A.,1.04,0.87,1.42,0.19,0.25,0.82
REPOWER ITALIA S.P.A.,1.01,1.16,0.68,1.52,0.0,0.24
BRACCO IMAGING S.P.A.,0.99,0.64,1.8,1.55,0.32,0.12
ENI PLENITUDE S.P.A. SOCIETA' BENEFIT,0.97,1.0,0.9,1.25,0.06,0.35
MEDIAMARKET SPA,0.93,1.09,0.56,0.11,0.98,0.62
JUNGHEINRICH ITALIANA SRL,0.92,0.87,1.05,0.76,0.34,0.51
SNAITECH S.P.A.,0.92,0.39,2.14,0.56,0.0,0.72
"EY S.P.A., PER ESTESO ANCHE ERNST & YOUNG S.P.A.",0.91,0.91,0.9,1.14,0.58,0.24
DS SMITH HOLDING ITALIA S.P.A.,0.9,0.0,3.0,1.87,0.04,0.05
"IN SPORT S.R.L. SOCIETA' SPORTIVA DILETTANTISTICA IN BREVE DENO MINATA IN
SPORT S.R.L. S.S.D.",0.9,0.0,3.0,0.0,0.05,0.98
HENKEL ITALIA S.R.L.,0.88,1.0,0.6,1.43,0.74,0.04
SAINT-GOBAIN ITALIA S.P.A.,0.88,0.29,2.25,1.57,0.0,0.22
IKEA ITALIA RETAIL S.R.L.,0.87,0.8,1.05,1.34,0.68,0.1
S.A.P. ITALIA SISTEMI APPLICAZIONI PRODOTTI IN DATA PROCESSING S.P.A.,0.87,1.13,0.26,0.11,0.73,0.7
PIRELLI TYRE SPA,0.82,0.94,0.52,0.62,0.05,0.67
"INFRASTRUTTURE WIRELESS ITALIANE S.P.A. O, IN FORMA ABBREVIATA, INWIT S.P.A.",0.81,0.86,0.71,1.61,0.0,0.2
DECATHLON PRODUZIONE ITALIA S.R.L.,0.78,0.68,1.01,0.04,0.0,0.98
ITT ITALIA S.R.L.,0.78,1.04,0.15,1.11,0.0,0.44
SORGENIA PUGLIA S.P.A.,0.78,0.9,0.49,1.08,0.46,0.31
METRO ITALIA S.P.A.,0.76,0.94,0.34,1.0,0.41,0.36
SAIF S.P.A.,0.75,0.0,2.51,1.41,0.0,0.29
EMERSON PROCESS MANAGEMENT S.R.L.,0.75,0.78,0.68,1.42,0.2,0.22
AXSE SRL,0.72,0.0,2.4,0.74,0.0,0.63
ADAMANT BIONRG S.R.L.,0.72,0.65,0.86,1.07,0.0,0.46
ZAMBON S.P.A.,0.66,0.9,0.11,0.12,1.73,0.37
ABB S.P.A.,0.66,0.62,0.75,0.82,0.0,0.59
WIND TRE S.P.A.,0.64,0.9,0.04,0.28,0.57,0.67
PIAZZA ITALIA S.P.A.,0.64,0.77,0.34,0.09,0.6,0.76
PREGIS S.P.A.,0.64,0.19,1.69,1.7,0.06,0.13
SISAL ENTERTAINMENT S.P.A.,0.62,0.74,0.34,0.81,0.86,0.31
SAGAM S.P.A.,0.6,0.0,1.99,0.0,0.0,1.0
FACEBOOK ITALY S.R.L.,0.59,0.78,0.15,0.17,0.2,0.85
2I RETE GAS S.P.A.,0.59,0.64,0.49,0.95,0.0,0.53
SALMOIRAGHI S.P.A.,0.59,0.0,1.95,0.89,0.0,0.56
EASTMAN ITALIA S.R.L.,0.57,0.0,1.91,1.74,0.0,0.13
SEPHORA ITALIA S.R.L.,0.57,0.75,0.15,0.14,0.0,0.93
FOMAS HOP S.P.A.,0.57,0.78,0.08,0.45,0.0,0.77
MET ENERGIA ITALIA S.P.A.,0.57,0.64,0.41,1.03,0.35,0.37
BORGWARNER MORSE SYSTEMS ITALY S.R.L.,0.56,0.72,0.19,0.68,0.66,0.44
INTERCOS S.P.A.,0.56,0.67,0.3,1.19,0.24,0.32
ENI REWIND S.P.A.,0.56,0.23,1.31,1.6,0.25,0.11
MONDADORI LIBRI S.P.A.,0.55,0.0,1.84,1.67,0.27,0.08
AMSA AZIENDA MILANESE SERVIZI AMBIENTALI SPA IN FORMA ABBREVIATA AMSA SPA,0.55,0.62,0.38,1.75,0.16,0.07
A2A ENERGIEFUTURE S.P.A.,0.54,0.42,0.82,1.14,0.21,0.36
STILSCREEN - S.R.L.,0.54,0.0,1.8,0.36,0.0,0.82
ALDIERI AUTOTRASPORTI S.P.A.,0.54,0.0,1.8,0.42,0.0,0.79
BRUGOLA COMMERCIALE SPA,0.54,0.3,1.09,1.11,0.16,0.39
MARELLI SUSPENSION SYSTEMS ITALY S.P.A.,0.54,0.46,0.71,0.58,0.26,0.62
INSTRUMENTATION LABORATORY S.P.A.,0.54,0.65,0.26,0.8,0.2,0.53
ASTRAZENECA S.P.A.,0.54,0.65,0.26,0.46,0.66,0.55
L'OREAL ITALIA S.P.A.,0.53,0.3,1.05,0.76,1.35,0.17
DUSSMANN SERVICE S.R.L.,0.52,0.13,1.42,1.44,0.32,0.18
"PRENATAL RETAIL GROUP S.P.A. OVVERO, IN ABBREVIATO, PNT RETAIL GR OUP S.P.A. O PRG S.P.A.",0.52,0.0,1.72,1.46,0.35,0.15
MONDELEZ ITALIA S.R.L.,0.51,0.49,0.56,0.8,0.0,0.6
DOUGLAS ITALIA S.P.A.,0.51,0.35,0.9,0.65,0.97,0.35
TOTALENERGIES MARKETING ITALIA S.P.A.,0.51,0.42,0.71,0.87,0.2,0.5
POMELLATO S.P.A.,0.51,0.0,1.69,0.55,1.58,0.2
F.LLI MONTORFANO S.R.L.,0.51,0.0,1.69,0.04,0.0,0.98
