Company,N of Employees,Total Words,score,ESG,GENDER EQUALITY,VOLLEYBALL
COCA-COLA ITALIA SRL,2,655,2.07,0,39,19
ITALMATCH CHEMICALS S.P.A.,2,505,1.52,22,0,33
ZANOTTA S.P.A.,1,150,1.06,8,0,0
VITERRA ITALY S.R.L.,1,123,0.97,6,0,0
WOLTERS KLUWER ITALIA S.R.L.,2,860,0.96,0,27,2
REPOWER ITALIA S.P.A.,2,1045,0.8,42,0,0
S.A.P. ITALIA SISTEMI APPLICAZIONI PRODOTTI IN DATA PROCESSING S.P.A.,1,576,0.78,0,9,18
MEDIAMARKET SPA,1,1294,0.75,0,30,7
ITT ITALIA S.R.L.,2,220,0.72,8,0,0
HENKEL ITALIA S.R.L.,1,1576,0.69,3,33,4
ENI PLENITUDE S.P.A. SOCIETA' BENEFIT,3,1280,0.69,38,3,3
METRO ITALIA S.P.A.,1,137,0.65,0,3,0
PIRELLI TYRE SPA,3,1515,0.65,42,3,5
"EY S.P.A., PER ESTESO ANCHE ERNST & YOUNG S.P.A.",1,1335,0.63,15,18,0
SORGENIA PUGLIA S.P.A.,1,485,0.62,6,6,0
WIND TRE S.P.A.,2,744,0.62,3,12,4
ZAMBON S.P.A.,3,1669,0.62,3,30,7
RHENUS LOGISTICS S.P.A.,1,686,0.6,0,9,14
JUNGHEINRICH ITALIANA SRL,1,451,0.6,0,9,0
"INFRASTRUTTURE WIRELESS ITALIANE S.P.A. O, IN FORMA ABBREVIATA, INWIT S.P.A.",3,1851,0.59,53,0,4
IKEA ITALIA RETAIL S.R.L.,2,979,0.55,0,18,0
FOMAS HOP S.P.A.,1,367,0.54,8,0,4
FACEBOOK ITALY S.R.L.,2,220,0.54,0,3,3
EMERSON PROCESS MANAGEMENT S.R.L.,2,474,0.54,3,6,2
PIAZZA ITALIA S.P.A.,4,204,0.53,0,3,2
SEPHORA ITALIA S.R.L.,1,495,0.52,3,0,20
SISAL ENTERTAINMENT S.P.A.,1,1474,0.51,15,12,9
BORGWARNER MORSE SYSTEMS ITALY S.R.L.,2,520,0.5,3,6,2
DATAMATIC S.P.A.,1,126,0.47,3,0,0
HEWLETT-PACKARD ITALIANA S.R.L.,1,633,0.47,0,9,3
DHL EXPRESS (ITALY) S.R.L.,2,1325,0.47,9,0,45
DECATHLON PRODUZIONE ITALIA S.R.L.,1,1107,0.47,0,0,52
INTERCOS S.P.A.,1,454,0.46,6,3,0
ADAMANT BIONRG S.R.L.,2,267,0.45,6,0,0
INSTRUMENTATION LABORATORY S.P.A.,1,1438,0.45,6,6,35
ASTRAZENECA S.P.A.,1,2852,0.45,21,23,18
MET ENERGIA ITALIA S.P.A.,2,2723,0.44,33,15,8
2I RETE GAS S.P.A.,2,270,0.44,6,0,0
BRACCO IMAGING S.P.A.,1,1127,0.44,0,15,5
AMSA AZIENDA MILANESE SERVIZI AMBIENTALI SPA IN FORMA ABBREVIATA AMSA SPA,1,630,0.43,9,3,0
ABB S.P.A.,1,465,0.43,9,0,2
A.P.S. AROSIO S.P.A.,1,141,0.42,3,0,0
FRATELLI GIACOMEL S.P.A.,1,1053,0.38,18,0,4
EI TOWERS S.P.A.,1,664,0.38,3,0,19
CANON ITALIA S.P.A.,1,992,0.36,18,0,0
MONDELEZ ITALIA S.R.L.,1,1069,0.34,0,0,36
E.ON ENERGIA S.P.A.,1,1200,0.33,18,0,4
ALFA LAVAL ITALY S.R.L.,2,1803,0.33,27,0,6
MARELLI SUSPENSION SYSTEMS ITALY S.P.A.,1,1431,0.32,0,9,19
STOCCAGGI GAS ITALIA SPA O IN FORMA ABBREVIATA STOGIT SPA,1,1013,0.32,15,0,2
WEBUILD S.P.A.,1,2531,0.32,12,9,31
DSV S.P.A.,1,513,0.31,3,0,10
3M ITALIA S.R.L.,1,63,0.31,0,0,2
ARROW ELECTRONICS ITALIA S.R.L.,1,387,0.31,0,0,12
"SNAM RETE GAS S.P.A. O, IN FORMA ABBREVIATA SNAM RG S.P.A.",2,2534,0.3,26,6,6
A2A ENERGIEFUTURE S.P.A.,4,3225,0.29,29,8,13
TOTALENERGIES MARKETING ITALIA S.P.A.,2,3278,0.29,24,3,38
EDISON S.P.A.,1,322,0.28,0,3,0
ENGIE ITALIA SPA,3,3509,0.28,27,14,2
HP ITALY S.R.L.,1,1012,0.28,14,0,0
BAYER S.P.A.,3,2733,0.27,18,13,0
GILEAD SCIENCES S.R.L.,1,447,0.27,2,0,8
SNAITECH S.P.A.,2,4294,0.27,24,0,68
GRUPPO SAPIO (1),1,469,0.26,6,0,0
FINCONS S.P.A.,2,1485,0.26,0,12,2
IBM ITALIA S.P.A.,2,3159,0.26,36,3,2
TECNIMONT S.P.A.,1,3045,0.25,31,0,13
COCA-COLA HBC ITALIA S.R.L.,1,476,0.25,5,0,2
ADIDAS ITALY S.P.A.,1,514,0.25,0,0,13
DOUGLAS ITALIA S.P.A.,2,2897,0.24,19,9,6
OPEN FIBER S.P.A.,2,782,0.23,9,0,0
VERSALIS S.P.A.,1,523,0.23,6,0,0
AIR LIQUIDE ITALIA PRODUZIONE SRL,3,3418,0.22,18,9,11
TAMOIL ITALIA S.P.A.,1,179,0.22,0,0,4
ACCIAIERIA ARVEDI S.P.A.,1,573,0.21,6,0,0
L'OREAL ITALIA S.P.A.,2,2806,0.21,15,6,10
SMURFIT KAPPA ITALIA S.P.A.,1,711,0.21,2,0,11
NESTLE' ITALIANA S.P.A. IN FORMA ABBREVIATA NE.IT. S.P.A.,1,1990,0.21,14,3,4
BRUGOLA COMMERCIALE SPA,2,1051,0.21,11,0,0
Company not found,33,14129,0.21,76,27,66
SAINT-GOBAIN ITALIA S.P.A.,2,305,0.2,3,0,0
PRIMARK ITALY S.R.L.,1,1325,0.2,0,0,27
ACCENTURE S.P.A.,2,2322,0.2,5,12,0
FEDEX EXPRESS ITALY S.R.L.,1,325,0.18,0,0,6
KASANOVA S.P.A.,1,1290,0.17,0,6,4
CANALI HOLDING SOCIETA' PER AZIONI,1,675,0.16,3,0,5
MICROSOFT S.R.L.,2,2743,0.16,19,0,6
SPREAFICO FRANCESCO E F.LLI S.P.A.,3,939,0.16,3,3,0
SABIC ITALIA S.R.L.,1,2141,0.16,14,0,6
SIEMENS S.P.A.,2,2315,0.16,12,0,12
FASTWEB SPA,2,3258,0.16,18,3,6
ENI REWIND S.P.A.,1,557,0.16,0,3,0
RANDSTAD ITALIA S.P.A.,4,1602,0.15,9,0,6
BMW ITALIA SPA,1,430,0.14,0,0,6
KIA ITALIA S.R.L.,1,582,0.14,2,0,4
NEXT HARDWARE & SOFTWARE S.P.A.,1,148,0.13,0,0,2
PREGIS S.P.A.,1,1072,0.13,4,0,6
AMPLIFON ITALIA S.P.A.,1,995,0.12,0,0,12
SYNLAB ITALIA S.R.L.,1,1474,0.12,0,0,17
J.B. CARS S.R.L.,2,963,0.12,3,0,6
SAPIO PRODUZIONE IDROGENO OSSIGENO SRL,3,1664,0.12,0,6,2
SCHENKER ITALIANA SPA,2,743,0.12,0,0,9
INNOMOTICS SRL,1,1430,0.12,6,0,5
CLEAF SPA,1,1573,0.11,3,3,2
KUEHNE + NAGEL S.R.L.,1,756,0.11,2,0,4
EPIPOLI SPA,2,836,0.1,3,0,2
BIOGEN ITALIA S.R.L.,2,1910,0.1,5,3,0
TAGLIABUE GOMME GROSS S.R.L.,1,196,0.1,0,0,2
CISCO SYSTEMS (ITALY) S.R.L.,1,1239,0.1,3,0,6
TRILLIUM PUMPS ITALY S.P.A. *,2,686,0.09,3,0,0
DUSSMANN SERVICE S.R.L.,1,1565,0.09,6,0,2
BIANALISI S.P.A. *,2,1259,0.09,0,3,2
IPERAL SUPERMERCATI S.P.A.,2,257,0.08,0,0,2
LG ELECTRONICS ITALIA S.P.A.,2,1013,0.08,3,0,2
LEROY MERLIN ITALIA S.R.L.,2,2461,0.07,9,0,0
HUAWEI TECHNOLOGIES ITALIA S.R.L.,1,824,0.07,0,0,6
KONE S.P.A.,2,1758,0.07,3,0,6
TELECOM ITALIA SPA O TIM S.P.A.,3,1355,0.07,0,3,0
ORTEA S.P.A,1,820,0.07,3,0,0
SORGENIA S.P.A.,4,911,0.06,3,0,0
OSPEDALE SAN RAFFAELE S.R.L.,2,515,0.06,0,0,3
FIBERCOP S.P.A.,1,2877,0.06,2,0,14
EDENRED ITALIA S.R.L.,2,1760,0.05,0,0,9
ADECCO ITALIA SPA,1,402,0.05,0,0,2
INGRAM MICRO S.R.L.,2,388,0.05,0,0,2
VENTANA SERRA S.P.A.,1,388,0.05,0,0,2
FORMENTI & GIOVENZANA S.P.A. (1),2,828,0.05,2,0,0
HYDRO EXTRUSION ITALY S.R.L.,2,896,0.05,0,0,4
ALPIQ ENERGIA ITALIA S.P.A.,1,450,0.04,0,0,2
BETA UTENSILI S.P.A.,2,1442,0.04,0,0,6
ROVAGNATI SPA,1,775,0.03,0,0,2
DYSON S.R.L.,1,775,0.03,0,0,2
BOEHRINGER INGELHEIM ITALIA - S.P.A.,1,793,0.03,0,0,2
RECKITT BENCKISER COMMERCIAL (ITALIA) S.R.L.,2,847,0.02,0,0,2
SHELL ENERGY ITALIA S.R.L.,2,683,0.0,0,0,0
WEBUILD ITALIA SPA,1,795,0.0,0,0,0
SANOFI S.R.L.,1,148,0.0,0,0,0
SO.FARMA.MORRA S.P.A.,1,11,0.0,0,0,0
WORTHINGTON S.R.L. (1),1,2,0.0,0,0,0
SOCIETA' PER AZIONI ESERCIZI AEROPORTUALI S.E.A.,1,123,0.0,0,0,0
BASF ITALIA S.P.A.,1,861,0.0,0,0,0
RODACCIAI S.P.A.,1,125,0.0,0,0,0
ENGINEERING 2K S.P.A.,2,117,0.0,0,0,0
GOOGLE ITALY S.R.L.,1,1087,0.0,0,0,0
FRIESLANDCAMPINA ITALY S.R.L.,1,583,0.0,0,0,0
FALCK NEXT ENERGY S.R.L.,1,703,0.0,0,0,0
EXYTE ITALY S.R.L.,1,49,0.0,0,0,0
EUROITALIA S.R.L. **,1,79,0.0,0,0,0
ESSELUNGA SPA,1,180,0.0,0,0,0
DOW ITALIA DIVISIONE COMMERCIALE S.R.L.,1,4,0.0,0,0,0
RETITALIA S.P.A.,1,467,0.0,0,0,0
COOP LOMBARDIA SOCIETA' COOPERATIVA,1,557,0.0,0,0,0
COMPO ITALIA S.R.L.,1,9,0.0,0,0,0
AUTOTORINO S.P.A.,1,609,0.0,0,0,0
CARGILL S.R.L.,1,115,0.0,0,0,0
BUTAN GAS SPA,2,445,0.0,0,0,0
BRENNTAG SPA,1,60,0.0,0,0,0
GRUPPO FONTANA (1),1,681,0.0,0,0,0
GRUPPO VRV S.R.L. (2),1,13,0.0,0,0,0
APPLE RETAIL ITALIA S.R.L.,2,172,0.0,0,0,0
HYUNDAI MOTOR COMPANY ITALY S.R.L.,1,100,0.0,0,0,0
ILIAD ITALIA S.P.A.,2,323,0.0,0,0,0
INTALS S.P.A.,1,43,0.0,0,0,0
INTERNATIONAL PAPER ITALIA S.R.L.,1,63,0.0,0,0,0
JANSSEN CILAG S.P.A.,1,692,0.0,0,0,0
LA RINASCENTE S.P.A,2,2,0.0,0,0,0
LUXOTTICA GROUP SPA,2,265,0.0,0,0,0
MEDTRONIC ITALIA S.P.A.,1,276,0.0,0,0,0
MINOTTI SPA,2,52,0.0,0,0,0
MONCLER S.P.A.,2,241,0.0,0,0,0
MULTITEL PAGLIERO S.P.A.,1,422,0.0,0,0,0
NOKIA SOLUTIONS AND NETWORKS ITALIA S.P.A. IN FORMA ABBREVIATA NSN ITALIA S.P.A.,2,45,0.0,0,0,0
PARTECIPAZIONI SOCIETA' ALIMENTARI S.R.L. O PIU' BREVEMENTE PARTESA S.R.L.,2,1462,0.0,0,0,0
AGRIFARMA SPA,1,944,0.0,0,0,0
AMGEN S.R.L.,1,708,0.0,0,0,0
ACS DOBFAR SPA,3,0,,0,0,0
AMAZON ITALIA TRANSPORT S.R.L.,2,0,,0,0,0
BENNET S.P.A.,1,0,,0,0,0
DHL SUPPLY CHAIN (ITALY) S.P.A.,1,0,,0,0,0
EUROTRANCIATURA S.P.A.,1,0,,0,0,0
G.A. OPERATIONS S.P.A.,1,0,,0,0,0
GRUPPO GIMOKA S.P.A.,2,0,,0,0,0
MANUFACTURES DIOR S.R.L.,1,0,,0,0,0
MAPEI S.P.A.,2,0,,0,0,0
OPENJOBMETIS SPA AGENZIA PER IL LAVORO,1,0,,0,0,0
PARA' S.P.A.,1,0,,0,0,0
PERFETTI VAN MELLE S.P.A.,1,0,,0,0,0
POSCO INTERNATIONAL ITALIA SRL,2,0,,0,0,0
PRADA S.P.A.,2,0,,0,0,0
ROTTAPHARM S.P.A.,1,0,,0,0,0
SAIPEM S.P.A.,1,0,,0,0,0
SKY ITALIA - S.R.L.,1,0,,0,0,0
SMC ITALIA SPA,1,0,,0,0,0
TERNO SCORREVOLI S.P.A.,1,0,,0,0,0
VALENTINO S.P.A.,1,0,,0,0,0
WORLD FUEL SERVICES ITALY S.R.L.,1,0,,0,0,0
YARA ITALIA S.P.A.,3,0,,0,0,0
