Company,N of Employees,Total Words,score,ESG,GENDER EQUALITY,VOLLEYBALL
COCA-COLA ITALIA SRL,2,655,7.48,0,139,71
DECATHLON PRODUZIONE ITALIA S.R.L.,1,1107,5.74,0,18,200
SEPHORA ITALIA S.R.L.,1,495,4.98,10,0,79
ARROW ELECTRONICS ITALIA S.R.L.,1,387,4.18,18,0,48
METRO ITALIA S.P.A.,1,137,4.06,0,28,0
DHL EXPRESS (ITALY) S.R.L.,2,1325,4.04,56,0,160
MEDIAMARKET SPA,1,1294,3.79,0,235,7
3M ITALIA S.R.L.,1,63,3.75,0,0,8
RHENUS LOGISTICS S.P.A.,1,686,3.54,0,39,55
MONDELEZ ITALIA S.R.L.,1,1069,3.36,0,0,120
WIND TRE S.P.A.,2,744,3.22,10,94,14
SISAL ENTERTAINMENT S.P.A.,1,1474,2.75,56,130,30
TAMOIL ITALIA S.P.A.,1,179,2.67,0,0,16
GRUPPO SAPIO (1),1,469,2.64,124,0,0
E.ON ENERGIA S.P.A.,1,1200,2.6,267,0,15
DSV S.P.A.,1,513,2.53,10,0,40
ZANOTTA S.P.A.,1,150,2.52,38,0,0
WOLTERS KLUWER ITALIA S.R.L.,2,860,2.44,12,99,0
MET ENERGIA ITALIA S.P.A.,2,2723,2.31,437,50,31
IKEA ITALIA RETAIL S.R.L.,2,979,2.31,14,106,0
S.A.P. ITALIA SISTEMI APPLICAZIONI PRODOTTI IN DATA PROCESSING S.P.A.,1,576,2.29,0,30,24
HENKEL ITALIA S.R.L.,1,1576,2.22,28,137,16
INSTRUMENTATION LABORATORY S.P.A.,1,1438,2.11,44,20,73
EI TOWERS S.P.A.,1,664,2.09,22,0,39
SNAITECH S.P.A.,2,4294,2.04,194,0,228
ENI PLENITUDE S.P.A. SOCIETA' BENEFIT,3,1280,2.04,188,37,0
PIAZZA ITALIA S.P.A.,4,204,1.98,0,10,7
EDISON S.P.A.,1,322,1.98,26,19,0
ENGIE ITALIA SPA,3,3509,1.97,467,103,7
ITALMATCH CHEMICALS S.P.A.,2,505,1.92,97,0,0
FOMAS HOP S.P.A.,1,367,1.85,20,0,16
"EY S.P.A., PER ESTESO ANCHE ERNST & YOUNG S.P.A.",1,1335,1.81,68,87,0
EMERSON PROCESS MANAGEMENT S.R.L.,2,474,1.81,10,38,0
BORGWARNER MORSE SYSTEMS ITALY S.R.L.,2,520,1.76,16,38,0
TOTALENERGIES MARKETING ITALIA S.P.A.,2,3278,1.75,118,0,152
ADIDAS ITALY S.P.A.,1,514,1.75,0,0,30
ADAMANT BIONRG S.R.L.,2,267,1.75,47,0,0
JUNGHEINRICH ITALIANA SRL,1,451,1.73,0,39,0
WEBUILD S.P.A.,1,2531,1.72,70,30,102
REPOWER ITALIA S.P.A.,2,1045,1.71,179,0,0
GILEAD SCIENCES S.R.L.,1,447,1.7,10,9,16
ITT ITALIA S.R.L.,2,220,1.67,37,0,0
VITERRA ITALY S.R.L.,1,123,1.61,20,0,0
"INFRASTRUTTURE WIRELESS ITALIANE S.P.A. O, IN FORMA ABBREVIATA, INWIT S.P.A.",3,1851,1.57,194,36,8
CISCO SYSTEMS (ITALY) S.R.L.,1,1239,1.56,49,36,24
SYNLAB ITALIA S.R.L.,1,1474,1.53,0,54,39
SHELL ENERGY ITALIA S.R.L.,2,683,1.52,104,0,0
ZAMBON S.P.A.,3,1669,1.51,10,109,8
BRACCO IMAGING S.P.A.,1,1127,1.49,6,69,8
DATAMATIC S.P.A.,1,126,1.42,18,0,0
ASTRAZENECA S.P.A.,1,2852,1.4,94,152,0
SORGENIA PUGLIA S.P.A.,1,485,1.4,28,20,0
ABB S.P.A.,1,465,1.37,43,0,7
A2A ENERGIEFUTURE S.P.A.,4,3225,1.35,172,74,39
PIRELLI TYRE SPA,3,1515,1.34,182,10,0
"SNAM RETE GAS S.P.A. O, IN FORMA ABBREVIATA SNAM RG S.P.A.",2,2534,1.32,223,20,24
BAYER S.P.A.,3,2733,1.32,65,148,0
VERSALIS S.P.A.,1,523,1.24,65,0,0
AIR LIQUIDE ITALIA PRODUZIONE SRL,3,3418,1.23,192,66,32
TAGLIABUE GOMME GROSS S.R.L.,1,196,1.22,0,0,8
A.P.S. AROSIO S.P.A.,1,141,1.2,17,0,0
SCHENKER ITALIANA SPA,2,743,1.18,16,0,24
RANDSTAD ITALIA S.P.A.,4,1602,1.11,52,18,30
STOCCAGGI GAS ITALIA SPA O IN FORMA ABBREVIATA STOGIT SPA,1,1013,1.11,89,0,8
INTERCOS S.P.A.,1,454,1.1,30,10,0
HEWLETT-PACKARD ITALIANA S.R.L.,1,633,1.07,8,30,0
ALPIQ ENERGIA ITALIA S.P.A.,1,450,1.06,24,0,8
TELECOM ITALIA SPA O TIM S.P.A.,3,1355,1.04,12,65,0
2I RETE GAS S.P.A.,2,270,1.0,27,0,0
FALCK NEXT ENERGY S.R.L.,1,703,0.98,69,0,0
BMW ITALIA SPA,1,430,0.97,0,0,14
FRATELLI GIACOMEL S.P.A.,1,1053,0.95,76,0,8
CANON ITALIA S.P.A.,1,992,0.94,93,0,0
KIA ITALIA S.R.L.,1,582,0.93,6,0,16
INGRAM MICRO S.R.L.,2,388,0.92,12,0,8
FACEBOOK ITALY S.R.L.,2,220,0.9,0,10,0
CANALI HOLDING SOCIETA' PER AZIONI,1,675,0.9,10,0,17
AMSA AZIENDA MILANESE SERVIZI AMBIENTALI SPA IN FORMA ABBREVIATA AMSA SPA,1,630,0.89,36,10,0
PREGIS S.P.A.,1,1072,0.86,20,0,24
ALFA LAVAL ITALY S.R.L.,2,1803,0.82,131,9,0
IPERAL SUPERMERCATI S.P.A.,2,257,0.81,0,0,7
CARGILL S.R.L.,1,115,0.78,9,0,0
KUEHNE + NAGEL S.R.L.,1,756,0.77,10,0,16
MICROSOFT S.R.L.,2,2743,0.77,93,36,15
MARELLI SUSPENSION SYSTEMS ITALY S.P.A.,1,1431,0.75,6,39,8
ACCIAIERIA ARVEDI S.P.A.,1,573,0.75,43,0,0
ACCENTURE S.P.A.,2,2322,0.75,41,67,0
FINCONS S.P.A.,2,1485,0.74,6,40,8
Company not found,33,14129,0.74,474,135,102
TECNIMONT S.P.A.,1,3045,0.73,199,0,8
FASTWEB SPA,2,3258,0.72,97,46,15
BRUGOLA COMMERCIALE SPA,2,1051,0.71,74,0,0
J.B. CARS S.R.L.,2,963,0.67,17,0,16
SABIC ITALIA S.R.L.,1,2141,0.66,93,0,16
SPREAFICO FRANCESCO E F.LLI S.P.A.,3,939,0.66,42,10,0
DOUGLAS ITALIA S.P.A.,2,2897,0.65,94,48,0
NESTLE' ITALIANA S.P.A. IN FORMA ABBREVIATA NE.IT. S.P.A.,1,1990,0.63,58,10,16
VENTANA SERRA S.P.A.,1,388,0.62,0,0,8
SORGENIA S.P.A.,4,911,0.61,38,9,0
OPEN FIBER S.P.A.,2,782,0.61,30,9,0
FIBERCOP S.P.A.,1,2877,0.6,16,0,52
EPIPOLI SPA,2,836,0.59,10,9,7
BIOGEN ITALIA S.R.L.,2,1910,0.58,55,28,0
BETA UTENSILI S.P.A.,2,1442,0.58,12,0,24
LG ELECTRONICS ITALIA S.P.A.,2,1013,0.57,58,0,0
SIEMENS S.P.A.,2,2315,0.56,88,0,14
CLEAF SPA,1,1573,0.55,25,19,8
L'OREAL ITALIA S.P.A.,2,2806,0.55,72,29,8
IBM ITALIA S.P.A.,2,3159,0.54,151,10,0
HYDRO EXTRUSION ITALY S.R.L.,2,896,0.54,0,0,16
KASANOVA S.P.A.,1,1290,0.52,6,20,7
EDENRED ITALIA S.R.L.,2,1760,0.51,18,0,24
KONE S.P.A.,2,1758,0.51,18,0,24
AMPLIFON ITALIA S.P.A.,1,995,0.48,0,0,16
BIANALISI S.P.A. *,2,1259,0.47,18,10,7
ROVAGNATI SPA,1,775,0.45,14,0,7
HP ITALY S.R.L.,1,1012,0.39,40,0,0
SAPIO PRODUZIONE IDROGENO OSSIGENO SRL,3,1664,0.36,20,20,0
ENI REWIND S.P.A.,1,557,0.36,0,10,0
LEROY MERLIN ITALIA S.R.L.,2,2461,0.35,86,0,0
DUSSMANN SERVICE S.R.L.,1,1565,0.34,32,0,7
SAINT-GOBAIN ITALIA S.P.A.,2,305,0.33,10,0,0
BOEHRINGER INGELHEIM ITALIA - S.P.A.,1,793,0.3,0,0,8
RECKITT BENCKISER COMMERCIAL (ITALIA) S.R.L.,2,847,0.25,0,0,7
PARTECIPAZIONI SOCIETA' ALIMENTARI S.R.L. O PIU' BREVEMENTE PARTESA S.R.L.,2,1462,0.22,33,0,0
COCA-COLA HBC ITALIA S.R.L.,1,476,0.21,10,0,0
INNOMOTICS SRL,1,1430,0.18,26,0,0
TRILLIUM PUMPS ITALY S.P.A. *,2,686,0.14,10,0,0
RETITALIA S.P.A.,1,467,0.13,6,0,0
BUTAN GAS SPA,2,445,0.13,6,0,0
SMURFIT KAPPA ITALIA S.P.A.,1,711,0.13,9,0,0
GRUPPO FONTANA (1),1,681,0.13,9,0,0
ORTEA S.P.A,1,820,0.11,9,0,0
PRIMARK ITALY S.R.L.,1,1325,0.09,12,0,0
JANSSEN CILAG S.P.A.,1,692,0.09,6,0,0
AMGEN S.R.L.,1,708,0.08,6,0,0
AGRIFARMA SPA,1,944,0.06,6,0,0
WORTHINGTON S.R.L. (1),1,2,0.0,0,0,0
SO.FARMA.MORRA S.P.A.,1,11,0.0,0,0,0
WEBUILD ITALIA SPA,1,795,0.0,0,0,0
BRENNTAG SPA,1,60,0.0,0,0,0
COMPO ITALIA S.R.L.,1,9,0.0,0,0,0
SOCIETA' PER AZIONI ESERCIZI AEROPORTUALI S.E.A.,1,123,0.0,0,0,0
COOP LOMBARDIA SOCIETA' COOPERATIVA,1,557,0.0,0,0,0
NEXT HARDWARE & SOFTWARE S.P.A.,1,148,0.0,0,0,0
APPLE RETAIL ITALIA S.R.L.,2,172,0.0,0,0,0
SANOFI S.R.L.,1,148,0.0,0,0,0
FEDEX EXPRESS ITALY S.R.L.,1,325,0.0,0,0,0
FORMENTI & GIOVENZANA S.P.A. (1),2,828,0.0,0,0,0
FRIESLANDCAMPINA ITALY S.R.L.,1,583,0.0,0,0,0
GOOGLE ITALY S.R.L.,1,1087,0.0,0,0,0
GRUPPO VRV S.R.L. (2),1,13,0.0,0,0,0
EXYTE ITALY S.R.L.,1,49,0.0,0,0,0
HUAWEI TECHNOLOGIES ITALIA S.R.L.,1,824,0.0,0,0,0
HYUNDAI MOTOR COMPANY ITALY S.R.L.,1,100,0.0,0,0,0
ILIAD ITALIA S.P.A.,2,323,0.0,0,0,0
EUROITALIA S.R.L. **,1,79,0.0,0,0,0
ESSELUNGA SPA,1,180,0.0,0,0,0
INTALS S.P.A.,1,43,0.0,0,0,0
INTERNATIONAL PAPER ITALIA S.R.L.,1,63,0.0,0,0,0
BASF ITALIA S.P.A.,1,861,0.0,0,0,0
ENGINEERING 2K S.P.A.,2,117,0.0,0,0,0
LA RINASCENTE S.P.A,2,2,0.0,0,0,0
LUXOTTICA GROUP SPA,2,265,0.0,0,0,0
MEDTRONIC ITALIA S.P.A.,1,276,0.0,0,0,0
MINOTTI SPA,2,52,0.0,0,0,0
MONCLER S.P.A.,2,241,0.0,0,0,0
ADECCO ITALIA SPA,1,402,0.0,0,0,0
MULTITEL PAGLIERO S.P.A.,1,422,0.0,0,0,0
NOKIA SOLUTIONS AND NETWORKS ITALIA S.P.A. IN FORMA ABBREVIATA NSN ITALIA S.P.A.,2,45,0.0,0,0,0
OSPEDALE SAN RAFFAELE S.R.L.,2,515,0.0,0,0,0
DYSON S.R.L.,1,775,0.0,0,0,0
DOW ITALIA DIVISIONE COMMERCIALE S.R.L.,1,4,0.0,0,0,0
RODACCIAI S.P.A.,1,125,0.0,0,0,0
AUTOTORINO S.P.A.,1,609,0.0,0,0,0
ACS DOBFAR SPA,3,0,,0,0,0
AMAZON ITALIA TRANSPORT S.R.L.,2,0,,0,0,0
BENNET S.P.A.,1,0,,0,0,0
DHL SUPPLY CHAIN (ITALY) S.P.A.,1,0,,0,0,0
EUROTRANCIATURA S.P.A.,1,0,,0,0,0
G.A. OPERATIONS S.P.A.,1,0,,0,0,0
GRUPPO GIMOKA S.P.A.,2,0,,0,0,0
MANUFACTURES DIOR S.R.L.,1,0,,0,0,0
MAPEI S.P.A.,2,0,,0,0,0
OPENJOBMETIS SPA AGENZIA PER IL LAVORO,1,0,,0,0,0
PARA' S.P.A.,1,0,,0,0,0
PERFETTI VAN MELLE S.P.A.,1,0,,0,0,0
POSCO INTERNATIONAL ITALIA SRL,2,0,,0,0,0
PRADA S.P.A.,2,0,,0,0,0
ROTTAPHARM S.P.A.,1,0,,0,0,0
SAIPEM S.P.A.,1,0,,0,0,0
SKY ITALIA - S.R.L.,1,0,,0,0,0
SMC ITALIA SPA,1,0,,0,0,0
TERNO SCORREVOLI S.P.A.,1,0,,0,0,0
VALENTINO S.P.A.,1,0,,0,0,0
WORLD FUEL SERVICES ITALY S.R.L.,1,0,,0,0,0
YARA ITALIA S.P.A.,3,0,,0,0,0
