Word,Count
sustainable communities,0
femminismo,0
gender mainstreaming,0
campionato,103
women's empowerment,0
ESG,0
ESG initiatives,0
Olympics,0
corporate transparency,3
green energy,22
gender equality,23
cambiamento climatico,60
diritti delle donne,3
social impact,25
feminism,0
partita,2123
CSR,0
beach volley,19
Olympic Games,0
LGBT,0
training,869
responsabilità sociale d'impresa,46
coach,144
olimpiadi,38
sustainability,2091
ecological footprint,3
trasparenza aziendale,0
gender equity,5
gender parity,1
gestione dei rifiuti,55
equal pay,2
impronta ecologica,16
carbon free,439
giochi olimpici,19
energetica sostenibile,0
comunità sostenibili,3
gender inclusion,0
match,3503
Paraolimpiadi,0
carbon emission reduction,0
allenatore,13
corporate social responsibility,75
parità di genere,157
women's rights,0
sport,7443
Paralympic Games,0
sustainable energy,41
corporate ethics,0
etica aziendale,6
riduzione delle emissioni di carbonio,0
finanza verde,0
LGBTQIA+,0
championship,122
inclusione di genere,0
investimenti sostenibili,2
uguaglianza di genere,6
club di pallavolo,0
iniziative ESG,0
donne,386
allenamento,48
sustainable investments,0
gender diversity,0
circular economy,116
beach volleyball,0
atleta paralimpico,2
league,210
diversità di genere,2
Paralympic athlete,0
game,3258
atleta,9
sostenibilità,3792
economia circolare,278
gender representation,0
gender justice,0
energia green,24
renewable sources,14
sports,435
green finance,2
athlete,25
fonti rinnovabili,146
climate change,87
impatto sociale,43
volleyball club,0
waste management,31
women,303
torneo,19
tournament,9
