Word,Count
economia circolare,278
carbon free,439
sustainable investments,0
green finance,2
corporate ethics,0
social impact,25
green energy,22
corporate transparency,3
iniziative ESG,0
impronta ecologica,16
sustainable communities,0
waste management,31
finanza verde,0
cambiamento climatico,60
etica aziendale,6
sustainable energy,41
renewable sources,14
responsabilità sociale d'impresa,46
gestione dei rifiuti,55
CSR,0
investimenti sostenibili,2
ESG initiatives,0
impatto sociale,43
ESG,0
ecological footprint,3
energetica sostenibile,0
trasparenza aziendale,0
climate change,87
carbon emission reduction,0
comunità sostenibili,3
sustainability,2091
fonti rinnovabili,146
energia green,24
riduzione delle emissioni di carbonio,0
circular economy,116
corporate social responsibility,75
sostenibilità,3792
