Word,Count
parità di genere,147
sport,7243
partita,2116
energetica,968
pallavolo,53
feminism,0
gender,77
green,2352
game,3220
volleyball,1
ethic,489
beach volley,19
gender equality,21
allenatore,11
coach,111
comunità,1199
renewable,325
paraolimpiadi,0
campionato,99
social,8097
donne,307
atleta,9
inclusione,372
championship,113
CSR,0
Sustainability,0
carbon,1850
inclusion,705
esg,810
equality,41
diversity,403
olympic,41
olimpiadi,34
women,221
athlete,22
parità,188
women's rights,0
sostenibilità,3647
paralympic,16
